O,H,L,C
14313.02,14313.02,14145.91,14164.82
14164.82,14193.93,14125.0,14125.01
14125.0,14164.99,14051.0,14116.27
14133.01,14239.44,14116.28,14222.12
14222.12,14249.8,14222.11,14248.99
14249.0,14249.0,14102.0,14174.78
14174.78,14247.0,14160.98,14187.46
14202.04,14223.93,14182.33,14199.99
14199.98,14220.0,14171.05,14189.84
14189.84,14198.0,14106.39,14151.21
14150.92,14210.0,14106.05,14180.36
14180.36,14239.99,14180.36,14239.99
14239.99,14350.0,14239.99,14326.99
14326.99,14326.99,14300.01,14311.0
14311.0,14390.0,14310.99,14390.0
14390.0,14400.0,14299.99,14387.99
14388.0,14397.99,14350.01,14387.01
14388.08,14455.51,14388.07,14449.86
14449.86,14585.0,14449.86,14585.0
14585.0,14692.22,14584.99,14692.22
14692.22,14763.63,14658.78,14731.25
14729.0,14751.83,14586.63,14751.82
14751.83,14840.0,14751.83,14839.99
14840.0,14928.0,14840.0,14928.0
14928.0,15121.0,14928.0,15078.0
15078.0,15246.31,15050.05,15112.42
15105.02,15111.99,14955.73,15079.99
15080.0,15142.96,15010.01,15045.0
15045.01,15250.0,15045.0,15250.0
15250.0,15490.46,15250.0,15490.44
15490.45,15491.0,15300.0,15300.01
15300.01,15476.46,15300.0,15465.43
15465.43,15700.0,15465.42,15700.0
15700.0,15829.99,15610.0,15767.43
15767.42,15960.0,15699.66,15819.4
15819.4,15959.0,15802.27,15925.0
15925.01,15925.01,15372.82,15642.6
15642.59,15778.17,15555.0,15599.99
15600.0,15600.0,15331.0,15500.0
15500.0,15538.75,15351.33,15404.49
15404.5,15529.0,15404.49,15450.01
15450.01,15450.01,15350.09,15400.0
15398.31,15400.0,15200.0,15249.99
15249.98,15269.98,15145.11,15238.01
15238.01,15449.0,15208.66,15449.0
15448.99,15499.0,15300.0,15425.0
15424.99,15600.0,15350.68,15600.0
15600.0,15600.0,15528.0,15564.48
15564.49,15677.09,15510.87,15677.09
15677.08,15760.0,15600.01,15666.96
15666.96,15678.99,15427.44,15669.51
15669.51,15669.51,15500.0,15501.02
15548.75,15598.75,15510.01,15598.75
15598.75,15740.0,15598.75,15604.92
15600.03,15604.91,15506.1,15600.0
15600.0,15673.2,15574.99,15661.0
15671.0,15761.0,15670.01,15670.02
15670.02,15761.0,15670.01,15725.01
15725.0,15900.0,15725.0,15890.05
15890.04,15899.0,15770.87,15799.57
15799.57,15820.21,15700.0,15710.0
15710.0,15749.81,15600.0,15600.01
15600.0,15678.77,15449.68,15673.48
15673.49,15681.41,15600.0,15642.04
15642.03,15642.04,15510.0,15525.0
15525.0,15599.99,15411.24,15587.5
15587.5,15695.0,15587.49,15694.53
15694.53,15694.53,15660.64,15693.94
15693.94,15693.95,15615.0,15666.0
15665.99,15697.0,15665.9,15696.98
15696.99,15698.0,15665.0,15695.0
15695.0,15749.99,15695.0,15749.99
15749.99,15788.42,15712.88,15750.04
15746.11,15790.0,15715.0,15760.0
15771.69,15778.31,15650.01,15724.68
15724.68,15725.0,15700.0,15725.0
15724.99,15725.0,15724.99,15724.99
15725.0,15725.0,15650.0,15650.0
15650.01,15665.0,15637.18,15664.99
15665.0,15665.0,15630.0,15630.0
15630.0,15630.01,15549.99,15589.51
15589.5,15590.0,15535.01,15540.54
15540.45,15540.51,15500.0,15500.02
15500.0,15500.01,15350.0,15373.99
15374.0,15494.0,15374.0,15460.0
15460.0,15488.0,15426.73,15488.0
15487.99,15585.04,15487.99,15585.04
15585.04,15600.0,15510.0,15529.48
15529.47,15536.8,15442.3,15499.0
15499.98,15530.0,15477.0,15529.0
15529.0,15550.0,15505.46,15550.0
15550.0,15577.77,15549.99,15577.77
15577.76,15577.76,15450.0,15472.87
15472.77,15542.4,15462.58,15536.0
15535.99,15578.07,15535.98,15578.06
15578.07,15767.22,15578.07,15700.01
15711.57,15770.0,15656.91,15736.99
15737.0,15769.2,15693.25,15693.27
15693.26,15794.01,15683.48,15754.0
15754.0,15875.0,15754.0,15875.0
