O,H,L,C
12860.04,12860.05,12860.0,12860.04
12860.05,12860.05,12821.0,12829.86
12829.85,12865.0,12829.85,12865.0
12865.0,12894.01,12865.0,12886.0
12886.0,12886.0,12810.06,12821.01
12821.01,12821.01,12810.0,12814.35
12814.36,12875.0,12814.35,12841.99
12842.0,12874.99,12840.0,12874.99
12874.99,12875.0,12851.32,12872.43
12872.43,12875.0,12872.42,12873.99
12873.99,12873.99,12873.0,12873.98
12873.99,12875.0,12873.98,12875.0
12875.0,12875.0,12874.98,12875.0
12874.99,12875.0,12874.99,12875.0
12875.0,12884.45,12874.99,12884.45
12884.45,12888.0,12884.44,12887.01
12887.01,12888.0,12887.0,12888.0
12888.0,12888.0,12887.98,12887.99
12887.99,12888.0,12887.98,12888.0
12888.0,12925.0,12887.99,12924.99
12925.0,12930.0,12887.98,12901.08
12901.08,12929.66,12864.0,12864.01
12864.01,12864.41,12864.0,12864.16
12864.16,12890.0,12864.01,12884.01
12884.01,12884.5,12883.0,12883.01
12883.01,12900.0,12883.0,12900.0
12900.0,12931.28,12899.99,12905.01
12905.01,12926.56,12900.0,12901.31
12901.31,12902.0,12864.0,12864.0
12864.0,12864.01,12820.01,12820.29
12820.29,12820.29,12801.0,12801.01
12801.01,12801.01,12661.0,12710.01
12710.01,12710.02,12589.18,12669.87
12669.45,12669.45,12510.0,12510.1
12510.09,12748.99,12510.09,12725.07
12725.97,12749.99,12724.0,12745.07
12745.07,12749.98,12745.06,12749.98
12749.98,12749.98,12686.7,12709.06
12708.53,12708.97,12682.01,12690.0
12690.0,12690.0,12689.99,12690.0
12690.0,12720.0,12689.99,12720.0
12720.0,12749.99,12703.04,12749.98
12749.99,12795.0,12749.99,12795.0
12795.0,12849.95,12794.99,12849.95
12840.0,12849.93,12800.0,12810.0
12816.88,12825.0,12805.23,12824.99
12825.0,12840.0,12825.0,12839.99
12840.0,12861.88,12840.0,12861.88
12861.88,12872.0,12861.88,12871.99
12872.0,12872.0,12871.99,12872.0
12872.0,12882.0,12871.99,12882.0
12882.0,12882.0,12871.51,12871.51
12871.52,12871.52,12816.64,12848.03
12848.03,12862.91,12848.03,12862.87
12862.87,12866.96,12862.86,12866.96
12866.96,12866.96,12864.0,12864.0
12864.01,12864.01,12825.0,12825.01
12825.01,12825.01,12825.0,12825.01
12825.01,12825.02,12825.0,12825.02
12825.02,12825.03,12825.01,12825.03
12825.03,12825.1,12825.02,12825.09
12825.1,12825.1,12825.09,12825.1
12825.1,12825.1,12825.09,12825.1
12825.1,12866.91,12825.09,12862.61
12862.61,12867.93,12862.61,12866.85
12866.85,12878.8,12866.84,12878.8
12878.8,12895.0,12878.79,12895.0
12894.92,12899.0,12894.91,12899.0
12899.0,12935.0,12899.0,12935.0
12934.99,12975.0,12934.99,12975.0
12975.0,12989.85,12975.0,12988.97
12988.97,13090.0,12988.96,13069.41
13069.41,13127.02,13000.0,13025.0
13019.95,13074.0,12932.4,13073.99
13073.99,13131.5,13070.0,13131.5
13131.5,13131.5,13074.0,13094.31
13094.3,13127.12,13094.3,13125.0
13125.0,13133.0,13125.0,13132.0
13132.01,13133.0,13113.75,13132.99
13132.99,13240.0,13132.99,13239.99
13239.99,13380.0,13239.99,13380.0
13380.0,13400.0,13218.01,13322.1
13322.09,13340.0,13322.09,13329.5
13329.5,13349.98,13329.5,13344.99
13344.99,13425.0,13344.98,13415.0
13414.99,13447.0,13414.99,13447.0
13447.0,13473.35,13345.0,13464.95
13464.95,13466.98,13358.91,13382.85
13384.91,13384.91,13326.51,13330.0
13329.0,13329.01,13125.0,13233.99
13233.99,13360.0,13233.99,13349.01
13349.01,13370.0,13299.0,13340.0
13340.0,13452.96,13339.75,13450.0
13450.0,13454.0,13400.01,13449.3
13449.3,13472.36,13449.29,13471.0
13471.0,13472.35,13404.0,13471.14
13471.14,13471.14,13440.0,13470.94
13469.47,13469.9,13450.02,13450.21
13451.86,13453.6,13450.01,13453.04
13452.98,13453.6,13411.01,13452.99
13452.99,13453.0,13410.0,13430.0
13432.53,13445.0,13429.67,13438.52
13438.53,13447.0,13430.1,13443.0
13443.0,13450.0,13442.99,13450.0
13450.0,13457.0,13449.99,13457.0
13457.0,13475.0,13456.99,13475.0
13475.0,13475.0,13470.0,13472.99
13472.99,13499.0,13472.99,13498.99
13499.0,13727.0,13498.99,13699.0
13699.01,13748.71,13600.01,13720.0
13720.0,13900.0,13621.56,13869.99
13869.99,13997.5,13869.99,13997.5
13997.49,13998.0,13700.0,13910.0
13910.0,13950.0,13830.0,13939.98
13939.98,13970.0,13939.97,13970.0
13970.0,14250.0,13969.99,14160.0
14180.0,14425.0,14001.0,14330.0
14334.98,14345.0,13748.53,13910.99
13911.0,14200.0,13901.0,13981.94
13981.94,14095.0,13981.94,14056.41
14056.41,14064.3,14001.0,14001.02
14001.01,14015.0,13750.0,13915.0
13923.99,14074.0,13915.0,14038.0
14037.98,14040.0,13950.0,13997.99
13997.99,13999.0,13950.0,13977.52
13977.53,13999.0,13970.0,13999.0
13998.99,14200.0,13998.99,14191.01
14191.01,14191.01,14010.01,14065.92
14065.92,14100.0,14065.0,14090.0
14090.0,14200.0,14089.99,14199.99
14200.0,14351.91,14199.99,14284.4
14284.1,14350.0,14284.09,14344.6
14344.6,14399.9,14330.26,14370.0
14369.99,14398.0,14346.0,14380.0
14380.0,14400.0,14360.0,14389.3
14389.31,14399.99,14370.58,14399.97
14399.98,14399.98,14380.0,14389.99
14389.99,14399.0,14389.9,14399.0
14399.0,14400.0,14398.99,14399.99
14399.99,14400.0,14389.86,14389.86
14389.86,14389.87,14370.0,14370.02
14370.03,14370.03,14126.02,14345.98
14345.99,14346.0,14210.0,14279.64
14279.64,14337.0,14279.63,14337.0
14337.0,14388.0,14336.99,14388.0
14388.0,14399.94,14328.58,14365.0
14365.0,14388.01,14365.0,14382.03
14382.03,14395.0,14382.02,14391.7
14391.7,14399.98,14391.7,14399.48
14399.49,14400.0,14399.47,14399.99
14400.0,14400.0,14295.0,14324.96
14324.95,14388.0,14324.95,14381.0
14381.0,14381.0,14321.0,14361.01
14361.01,14361.01,14320.0,14321.01
14320.3,14320.31,14221.0,14276.89
14276.9,14276.9,14009.99,14009.99
14026.34,14154.89,13910.98,13936.0
13936.0,13994.88,13850.0,13927.01
13927.0,13990.0,13500.0,13863.29
13843.14,14154.0,13768.0,13971.1
13971.1,14085.71,13965.0,14079.0
14079.03,14079.03,13900.0,13900.03
13900.03,13999.93,13900.02,13975.54
13975.55,14050.0,13975.55,14025.01
14025.0,14025.01,13925.01,13974.46
13974.45,14090.0,13945.0,14089.99
14089.99,14096.09,14029.0,14096.09
14096.09,14250.0,14091.01,14150.09
14150.08,14169.01,14055.0,14083.0
14083.0,14098.07,14066.25,14095.01
14095.0,14095.01,14055.0,14058.71
14058.72,14088.0,14028.0,14029.02
14029.02,14083.03,13955.27,13976.0
13976.0,14020.0,13975.99,14009.98
14009.99,14009.99,13999.19,14000.28
14000.29,14000.3,13925.0,13925.0
13925.01,13978.83,13841.93,13911.79
13911.8,13972.47,13900.0,13945.01
13945.01,14050.0,13945.01,14050.0
14049.99,14099.0,14049.99,14067.0
14067.0,14099.99,14066.99,14099.99
14099.99,14185.0,14099.98,14150.01
14150.01,14160.0,14114.0,14159.99
14160.0,14199.0,14160.0,14198.98
14198.99,14249.0,14198.98,14236.79
14236.79,14243.25,14236.78,14240.0
14240.0,14279.65,14239.99,14279.64
14279.65,14294.0,14279.64,14294.0
14293.99,14371.75,14293.99,14371.75
14371.75,14374.0,14371.74,14374.0
14374.0,14375.0,14293.99,14333.03
14333.03,14375.0,14277.19,14300.01
14300.01,14300.01,14233.8,14249.0
14248.99,14399.99,14206.0,14305.65
14305.66,14370.01,14305.66,14370.01
14370.01,14370.01,14330.0,14369.99
14370.0,14380.29,14331.0,14350.13
14350.13,14375.7,14340.0,14365.2
14365.21,14375.0,14345.0,14375.0
14374.99,14389.99,14374.99,14388.04
14388.03,14397.0,14388.03,14397.0
14397.0,14397.87,14396.99,14397.87
14397.86,14398.0,14397.6,14398.0
14398.0,14400.0,14397.99,14400.0
14400.0,14499.89,14399.99,14480.0
14480.01,14480.01,14450.26,14479.0
14479.0,14479.0,14414.18,14444.66
14444.66,14467.04,14444.66,14467.04
